point_id,algorithm,num_observations,num_breaks,break_dates,time_span_years,status
1413590,S-CCD,462,0,,36.903490759753595,no_breaks_detected
1413596,S-CCD,552,-1,,0.0,error: S-CCD function fails for pos = 1 
1413597,S-CCD,470,0,,36.903490759753595,no_breaks_detected
1413601,S-CCD,276,0,,36.290212183436005,no_breaks_detected
1413605,S-CCD,486,0,,36.46543463381246,no_breaks_detected
1413608,S-CCD,318,-1,,0.0,error: S-CCD function fails for pos = 1 
1413609,S-CCD,372,-1,,0.0,error: S-CCD function fails for pos = 1 
1413610,S-CCD,442,-1,,0.0,error: S-CCD function fails for pos = 1 
1413611,S-CCD,412,-1,,0.0,error: S-CCD function fails for pos = 1 
1413616,S-CCD,534,0,,36.53388090349076,no_breaks_detected
1413618,S-CCD,305,0,,36.290212183436005,no_breaks_detected
1413624,S-CCD,414,0,,36.421629021218344,no_breaks_detected
1413626,S-CCD,517,0,,36.88158795345654,no_breaks_detected
1413631,S-CCD,473,0,,36.72826830937714,no_breaks_detected
1413632,S-CCD,505,-1,,0.0,error: S-CCD function fails for pos = 1 
1413638,S-CCD,524,0,,36.46543463381246,no_breaks_detected
1413641,S-CCD,556,0,,36.903490759753595,no_breaks_detected
1413648,S-CCD,513,0,,36.46543463381246,no_breaks_detected
1413649,S-CCD,462,0,,36.65982203969884,no_breaks_detected
1413652,S-CCD,299,-1,,0.0,error: S-CCD function fails for pos = 1 
1413656,S-CCD,561,0,,36.772073921971256,no_breaks_detected
1413658,S-CCD,451,-1,,0.0,error: S-CCD function fails for pos = 1 
1413660,S-CCD,529,-1,,0.0,error: S-CCD function fails for pos = 1 
1413665,S-CCD,322,0,,36.290212183436005,no_breaks_detected
1413666,S-CCD,539,0,,36.903490759753595,no_breaks_detected
1413670,S-CCD,492,0,,36.40246406570842,no_breaks_detected
1413674,S-CCD,274,0,,36.50924024640657,no_breaks_detected
1413680,S-CCD,516,-1,,0.0,error: S-CCD function fails for pos = 1 
1413695,S-CCD,396,0,,36.421629021218344,no_breaks_detected
1413701,S-CCD,553,0,,36.903490759753595,no_breaks_detected
1413703,S-CCD,591,0,,36.64065708418891,no_breaks_detected
1413707,S-CCD,435,0,,36.40246406570842,no_breaks_detected
1413708,S-CCD,554,0,,36.46543463381246,no_breaks_detected
1413710,S-CCD,439,-1,,0.0,error: S-CCD function fails for pos = 1 
1413712,S-CCD,415,-1,,0.0,error: S-CCD function fails for pos = 1 
1413713,S-CCD,266,0,,36.290212183436005,no_breaks_detected
1413715,S-CCD,442,0,,36.59958932238193,no_breaks_detected
1413717,S-CCD,359,0,,36.577686516084874,no_breaks_detected
1413718,S-CCD,518,0,,36.903490759753595,no_breaks_detected
1413720,S-CCD,399,0,,36.85968514715948,no_breaks_detected
1413721,S-CCD,332,0,,36.290212183436005,no_breaks_detected
1413723,S-CCD,497,-1,,0.0,error: S-CCD function fails for pos = 1 
1413725,S-CCD,518,-1,,0.0,error: S-CCD function fails for pos = 1 
1413728,S-CCD,429,0,,36.577686516084874,no_breaks_detected
1413729,S-CCD,281,0,,36.290212183436005,no_breaks_detected
1413732,S-CCD,573,-1,,0.0,error: S-CCD function fails for pos = 1 
1413733,S-CCD,563,-1,,0.0,error: S-CCD function fails for pos = 1 
1413735,S-CCD,306,-1,,0.0,error: S-CCD function fails for pos = 1 
1413741,S-CCD,475,-1,,0.0,error: S-CCD function fails for pos = 1 
1413749,S-CCD,454,-1,,0.0,error: S-CCD function fails for pos = 1 
1413750,S-CCD,514,0,,36.40246406570842,no_breaks_detected
1413755,S-CCD,507,0,,36.772073921971256,no_breaks_detected
1413756,S-CCD,526,0,,36.64065708418891,no_breaks_detected
